,Incident ID,Year,Street Name,Cross Street,Distance,Junction Relation,Total Injuries,Total Fatalities,Injury Severity,Collision Manner,Light Condition,Weather,Surface Condition,Age Driver 1,Gender Driver 1,Travel Direction One,Unit Action One,Violation1_Drv1,Alcohol Use Driver 1,Drug Use Driver 1,Age Driver 2,Gender Driver 2,Travel Direction Two,Unit Action Two,Violation 1 Driver 2,Alcohol Use Driver 2,Drug Use Driver 2,Latitude,Longitude,Date,Time
34226,3518977,2019,Elliot Rd,Hardy Dr,0.0,Intersection 4 Way 202,1.0,0.0,Suspected Minor Injury,Angle - Other Than Left Turn 2,Daylight,Cloudy,Dry,21.0,Female,East,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,40.0,Male,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.34916,-111.95448,2019-05-08,15:48:00
34228,3518992,2019,Veterans Way,6th St,78.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,20.0,Female,West,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,24.0,Female,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.4231,-111.93016,2019-05-08,19:25:00
34229,3518955,2019,McClintock Dr,Del Rio Dr,0.0,Intersection T Inter 203,1.0,0.0,Possible Injury,Left Turn,Daylight,Clear,Dry,69.0,Male,South,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,42.0,Female,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.3966,-111.90914,2019-05-08,20:12:00
34231,3518987,2019,Priest Dr,Grove Pkwy,46.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,29.0,Female,Southwest,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,68.0,Female,Southwest,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.35156,-111.96257,2019-05-08,21:33:00
34233,3518986,2019,Elliot Rd,Kyrene Rd,0.0,Intersection 4 Way 202,2.0,0.0,Suspected Minor Injury,Left Turn,Daylight,Clear,Dry,17.0,Female,Northwest,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,45.0,Female,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.3492,-111.94573,2019-05-08,22:16:00
34234,3519690,2019,McClintock Dr,SR-202 Exit 8 A-Ramp,0.0,Intersection 201,0.0,0.0,No Injury,Left Turn,Daylight,Clear,Dry,48.0,Male,North,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,21.0,Female,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.43646,-111.90961,2019-05-08,22:26:00
34236,3518827,2019,McClintock Dr,Center Ln,-55.0,Intersection Related 206,0.0,0.0,No Injury,Left Turn,Daylight,Cloudy,Dry,21.0,Female,North,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,45.0,Male,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42072,-111.90911,2019-05-09,00:29:00
34237,3516963,2019,Priest Dr,Arizona Mills Access E,0.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Dark Lighted,Clear,Dry,32.0,Male,North,Slowing In Trafficway,Speed To Fast For Conditions,Alcohol,No Apparent Influence,27.0,Male,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.38467,-111.96095,2019-05-09,03:34:00
34238,3516873,2019,Baseline Rd,Price Rd,0.0,Intersection 201,0.0,0.0,No Injury,Left Turn,Daylight,Clear,Dry,25.0,Male,East,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,40.0,Female,West,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.37846,-111.89362,2019-05-09,13:48:00
34239,3518976,2019,Miller Rd,Valerie Dr,-26.0,Intersection Related 206,2.0,0.0,Suspected Minor Injury,Rear End,Daylight,Clear,Dry,38.0,Male,North,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,31.0,Female,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.44581,-111.91794,2019-05-09,14:32:00
34240,3518975,2019,Broadway Rd,Terrace Rd,-55.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,53.0,Female,West,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,27.0,Female,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.4075,-111.92279,2019-05-09,14:47:00
34242,3516671,2019,McClintock Dr,Elliot Rd,-104.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,18.0,Male,North,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,23.0,Female,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.34884,-111.91119,2019-05-09,18:33:00
34244,3516978,2019,Scottsdale Rd,SR-202 Exit 7 T-Ramp,0.0,Intersection 201,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,39.0,Male,East,Making Right Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,26.0,Male,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.43544,-111.92626,2019-05-09,20:23:00
34245,3519675,2019,Scottsdale Rd,SR-202 Exit 7 T-Ramp,-54.0,Entrance Exit Ramp 205,0.0,0.0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,21.0,Female,South,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,26.0,Male,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.4353,-111.92626,2019-05-09,21:02:00
34247,3519684,2019,Rural Rd,US-60 Exit 174 A-Ramp,-52.0,Intersection Related 206,2.0,0.0,Possible Injury,Rear End,Daylight,Clear,Dry,32.0,Male,South,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,42.0,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.38488,-111.92649,2019-05-09,21:20:00
34248,3518829,2019,McClintock Dr,Broadway Rd,144.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,38.0,Female,South,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,36.0,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.4079,-111.90912,2019-05-09,22:24:00
34249,3525018,2019,Scottsdale Rd,Playa Del Norte Dr,180.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Cloudy,Dry,20.0,Male,North,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,24.0,Male,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.43453,-111.92626,2019-05-09,22:36:00
34251,3518835,2019,Warner Rd,Priest Dr,112.0,Intersection Related 206,1.0,0.0,Suspected Minor Injury,Rear End,Daylight,Clear,Dry,41.0,Female,West,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,45.0,Female,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.33453,-111.96275,2019-05-10,00:08:00
34252,3516847,2019,Hardy Dr,Fairmont Dr,100.0,Intersection Related 206,0.0,0.0,No Injury,Unknown,Daylight,Clear,Dry,50.0,Male,South,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,31.0,Female,South,Going Straight Ahead,Other,No Apparent Influence,No Apparent Influence,33.39676,-111.95213,2019-05-10,00:15:00
34258,3519671,2019,Elliot Rd,I-10 Exit 157 A-Ramp,0.0,Not Junction Related,0.0,0.0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,33.0,Male,South,Making Left Turn,Unknown,No Apparent Influence,No Apparent Influence,23.0,Female,South,Making Left Turn,Unknown,No Apparent Influence,No Apparent Influence,33.34907,-111.97283,2019-05-10,17:57:00
34259,3518874,2019,Baseline Rd,McClintock Dr,101.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,56.0,Male,West,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,35.0,Male,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37843,-111.90893,2019-05-10,18:28:00
34261,3516967,2019,Elliot Rd,Rural Rd,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,32.0,Female,East,Avoiding Vehicle Object Pedestrian,Unknown,No Apparent Influence,No Apparent Influence,42.0,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.34919,-111.92848,2019-05-10,20:16:00
34262,3524994,2019,McClintock Dr,Rio Salado Pkwy,0.0,Intersection 201,0.0,0.0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,53.0,Male,East,Making U Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,39.0,Male,East,Slowing In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42926,-111.90907,2019-05-10,20:17:00
34263,3519525,2019,Baseline Rd,Hardy Dr,-207.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,27.0,Male,East,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,29.0,Female,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37822,-111.95319,2019-05-10,21:11:00
34265,3518859,2019,Mill Ave,6th St,62.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,19.0,Female,South,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,36.0,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42452,-111.94002,2019-05-10,21:54:00
34266,3519705,2019,Rural Rd,US-60 Exit 174 A-Ramp,-60.0,Not Junction Related,0.0,0.0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,74.0,Female,South,Going Straight Ahead,Failed To Keep In Proper Lane,No Apparent Influence,No Apparent Influence,59.0,Female,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.38486,-111.92649,2019-05-10,22:26:00
34267,3519670,2019,Price Rd,Southern Ave,0.0,Intersection Related 206,0.0,0.0,No Injury,Sideswipe Same Direction,Daylight,Clear,Wet,75.0,Male,South,Making Left Turn,Unknown,No Apparent Influence,No Apparent Influence,52.0,Male,South,Making Left Turn,Unknown,No Apparent Influence,No Apparent Influence,33.39296,-111.89203,2019-05-10,22:36:00
34268,3524989,2019,Baseline Rd,Kyrene Rd,-62.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Unknown 51,Unknown,Dry,29.0,Female,East,Going Straight Ahead,Other,No Apparent Influence,No Apparent Influence,41.0,Female,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.3782,-111.94619,2019-05-10,22:46:00
34272,3518853,2019,Southern Ave,Mill Ave,0.0,Not Junction Related,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Dark Lighted,Clear,Dry,33.0,Female,South,Making Left Turn,Unknown,No Apparent Influence,No Apparent Influence,20.0,Female,East,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,33.39286,-111.9396,2019-05-11,05:12:00
34275,3519685,2019,Price Rd,University Dr,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,59.0,Male,South,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,60.0,Female,South,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.42201,-111.89195,2019-05-11,19:37:00
34276,3516846,2019,5th St,Farmer Ave,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,20.0,Male,South,Going Straight Ahead,Ran Stop Sign,No Apparent Influence,No Apparent Influence,35.0,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42547,-111.94429,2019-05-11,21:09:00
34278,3525009,2019,Price Rd,Broadway Rd,36.0,Intersection 201,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,26.0,Male,South,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,23.0,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40758,-111.89034,2019-05-12,01:02:00
34280,3518868,2019,Guadalupe Rd,La Corta Dr,-5.0,Not Junction Related,0.0,0.0,No Injury,Rear End,Dark Lighted,Rain,Wet,70.0,Male,East,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,33.0,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.36374,-111.93248,2019-05-12,06:35:00
34282,3525016,2019,Rio Salado Pkwy,Mill Ave,30.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,52.0,Male,West,Stopped In Trafficway,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,22.0,Female,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42964,-111.93995,2019-05-12,22:48:00
34284,3528331,2019,Roosevelt St,6th St,-25.0,Intersection Related 206,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Daylight,Cloudy,Dry,20.0,Female,South,Improperly Parked,Other,No Apparent Influence,No Apparent Influence,44.0,Male,Southwest,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.42428,-111.94729,2019-05-12,23:27:00
34288,3518983,2019,Baseline Rd,48th St,100.0,Intersection Related 206,1.0,0.0,Possible Injury,Rear End,Daylight,Clear,Dry,53.0,Male,West,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,43.0,Male,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37819,-111.97809,2019-05-13,14:12:00
34291,3518826,2019,Broadway Rd,Priest Dr,140.0,Not Junction Related,0.0,0.0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,51.0,Female,East,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,36.0,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.40742,-111.96032,2019-05-13,18:28:00
34292,3518979,2019,Rockford Dr,University Dr,43.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,61.0,Male,South,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,73.0,Female,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42222,-111.89807,2019-05-13,19:20:00
34293,3518837,2019,Rural Rd,University Dr,-86.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,26.0,Male,North,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,44.0,Female,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42179,-111.92631,2019-05-13,21:27:00
34294,3518836,2019,University Dr,Mill Ave,-66.0,Intersection Related 206,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,50.0,Female,South,Making Right Turn,Unknown,No Apparent Influence,No Apparent Influence,20.0,Male,North,Making Left Turn,Unknown,No Apparent Influence,No Apparent Influence,33.42193,-111.94023,2019-05-13,22:13:00
34295,3518858,2019,Southern Ave,Kyrene Rd,0.0,Intersection T Inter 203,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,23.0,Male,East,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,33.0,Female,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.39284,-111.94368,2019-05-13,22:47:00
34297,3518834,2019,University Dr,Smith Rd,-90.0,Intersection Related 206,1.0,0.0,Possible Injury,Rear End,Daylight,Clear,Dry,27.0,Male,East,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,57.0,Male,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.4221,-111.90079,2019-05-13,23:15:00
34298,3518857,2019,Mill Ave,Bonita Way,45.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Unknown 51,Unknown,Dry,31.0,Male,South,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,32.0,Female,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40879,-111.93985,2019-05-13,23:52:00
34299,3518854,2019,Forest Service 01 Tempe Ave,5th St,-40.0,Not Junction Related,0.0,0.0,No Injury,Other,Daylight,Clear,Dry,50.0,Male,South,Other,Other,No Apparent Influence,No Apparent Influence,21.0,Female,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42541,-111.93667,2019-05-13,23:56:00
34300,3518839,2019,University Dr,Smith Rd,100.0,Not Junction Related,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,27.0,Male,East,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,40.0,Female,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42211,-111.90019,2019-05-14,00:02:00
34303,3525021,2019,Priest Dr,Southern Ave,-130.0,Not Junction Related,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,41.0,Female,North,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,20.0,Male,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.39253,-111.96078,2019-05-14,00:20:00
34306,3524952,2019,Southern Ave,College Ave,200.0,Driveway Or Alley,0.0,0.0,No Injury,Rear End,Dark Lighted,Clear,Dry,24.0,Male,East,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,22.0,Male,East,Making Right Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.39291,-111.93426,2019-05-14,05:10:00
34307,3518982,2019,Kyrene Rd,Guadalupe Rd,-205.0,Driveway Or Alley,0.0,0.0,No Injury,Left Turn,Daylight,Clear,Dry,21.0,Male,West,Making Left Turn,Failed To Keep In Proper Lane,No Apparent Influence,No Apparent Influence,40.0,Female,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.3631,-111.94589,2019-05-14,14:31:00
34308,3518994,2019,McClintock Dr,Apache Blvd,-170.0,Intersection Related 206,0.0,0.0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,20.0,Female,North,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,20.0,Male,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.41429,-111.90913,2019-05-14,16:36:00
34309,3518863,2019,McClintock Dr,University Dr,124.0,Not Junction Related,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,27.0,Male,North,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,46.0,Female,North,Slowing In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42232,-111.90911,2019-05-14,16:44:00
34310,3518838,2019,Southern Ave,George Dr,-209.0,Driveway Or Alley,1.0,0.0,Suspected Minor Injury,Left Turn,Daylight,Clear,Dry,90.0,Male,East,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,46.0,Female,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.39299,-111.88838,2019-05-14,16:52:00
34312,3528211,2019,Mill Ave,Pebble Beach Dr,90.0,Driveway Or Alley,0.0,0.0,No Injury,Left Turn,Daylight,Clear,Dry,56.0,Male,East,Making Left Turn,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,34.0,Female,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.39094,-111.93956,2019-05-14,21:41:00
34313,3524986,2019,Priest Dr,Fairmont Dr,0.0,Intersection 4 Way 202,2.0,0.0,Suspected Minor Injury,Left Turn,Daylight,Clear,Dry,60.0,Female,North,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,50.0,Female,West,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.39649,-111.9608,2019-05-14,22:04:00
34314,3518840,2019,Broadway Rd,Rural Rd,-53.0,Intersection Related 206,0.0,0.0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,31.0,Male,East,Making Right Turn,Made Improper Turn,No Apparent Influence,No Apparent Influence,47.0,Male,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40749,-111.92646,2019-05-14,22:18:00
34315,3525015,2019,Rural Rd,Guadalupe Rd,177.0,Driveway Or Alley,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,37.0,Female,East,Making Right Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,73.0,Male,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.36424,-111.92861,2019-05-14,23:10:00
34317,3518855,2019,Mill Ave,Pebble Beach Dr,35.0,Intersection Related 206,1.0,0.0,Possible Injury,Rear End,Daylight,Clear,Dry,36.0,Male,South,Stopped In Trafficway,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,22.0,Male,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.39079,-111.93956,2019-05-15,00:09:00
34320,3518864,2019,Baseline Rd,Wendler Dr,0.0,Intersection T Inter 203,0.0,0.0,No Injury,Left Turn,Daylight,Clear,Dry,44.0,Female,East,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,27.0,Male,South,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.37826,-111.96979,2019-05-15,12:56:00
34321,3518993,2019,Priest Dr,23rd St,-120.0,Intersection Related 206,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,35.0,Female,West,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,20.0,Male,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.40335,-111.96078,2019-05-15,15:01:00
34322,3518848,2019,Scottsdale Rd,Playa Del Norte Dr,-2.0,Intersection 4 Way 202,2.0,0.0,Suspected Minor Injury,Left Turn,Daylight,Clear,Dry,24.0,Female,North,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,48.0,Female,West,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.43403,-111.92626,2019-05-15,15:52:00
34323,3524978,2019,University Dr,Hardy Dr,0.0,Intersection 201,2.0,0.0,Suspected Minor Injury,Angle - Other Than Left Turn 2,Unknown 51,Unknown,Dry,45.0,Female,East,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,65.0,Female,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42191,-111.95222,2019-05-15,15:57:00
34324,3525092,2019,Darrow Dr,13th St,61.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,48.0,Male,North,Backing,Other,No Apparent Influence,No Apparent Influence,63.0,Female,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.41485,-111.95941,2019-05-15,16:11:00
34326,3518850,2019,Mill Ave,University Dr,197.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,29.0,Male,South,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,38.0,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42248,-111.94001,2019-05-15,19:13:00
34327,3525041,2019,University Dr,Dorsey Ln,0.0,Driveway Or Alley,1.0,0.0,Suspected Minor Injury,Left Turn,Daylight,Clear,Dry,75.0,Male,South,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,48.0,Female,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42202,-111.91769,2019-05-15,19:48:00
34328,3525027,2019,Baseline Rd,Pointe Pkwy,120.0,Intersection Related 206,1.0,0.0,Possible Injury,Rear End,Daylight,Clear,Dry,24.0,Female,West,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,37.0,Female,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37822,-111.9716,2019-05-15,21:27:00
34331,3519688,2019,Baseline Rd,I-10 Exit 155 C1-Ramp,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Left Turn,Daylight,Clear,Dry,24.0,Male,West,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,32.0,Male,North,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.3783,-111.96761,2019-05-15,23:29:00
34332,3518851,2019,University Dr,McAllister Ave,145.0,Not Junction Related,0.0,0.0,No Injury,Rear End,Dusk,Clear,Dry,29.0,Female,East,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,59.0,Male,East,Slowing In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42202,-111.92846,2019-05-16,01:41:00
34333,3524997,2019,Rio Salado Pkwy,Price Rd,0.0,Intersection 201,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Dark Lighted,Clear,Dry,23.0,Male,East,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,17.0,Female,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42931,-111.89026,2019-05-16,05:01:00
34334,3525056,2019,University Dr,Lola Ln,40.0,Driveway Or Alley,0.0,0.0,No Injury,Rear End,Dark Lighted,Clear,Dry,51.0,Male,West,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,27.0,Male,Unknown,Slowing In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42206,-111.89385,2019-05-16,11:44:00
34335,3525035,2019,University Dr,52nd St,0.0,Intersection 201,2.0,0.0,Suspected Minor Injury,Left Turn,Daylight,Clear,Dry,19.0,Female,East,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,51.0,Male,West,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.42194,-111.96957,2019-05-16,13:40:00
34336,3525031,2019,Broadway Rd,Price Rd,0.0,Intersection Related 206,0.0,0.0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,24.0,Male,West,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,20.0,Female,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.40748,-111.89033,2019-05-16,14:41:00
34337,3524955,2019,Baseline Rd,Rural Rd,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,19.0,Male,West,Making Left Turn,Followed Too Closely,No Apparent Influence,No Apparent Influence,29.0,Male,West,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.37825,-111.92869,2019-05-16,19:50:00
34338,3525036,2019,Priest Dr,Southern Ave,-96.0,Intersection Related 206,0.0,0.0,No Injury,Other,Daylight,Clear,Dry,36.0,Male,South,Backing,Other,No Apparent Influence,No Apparent Influence,32.0,Female,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.39262,-111.96077,2019-05-16,20:19:00
